
2024/02/26 (18:46:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/26 (20:25:30) | ===> btop++ v.1.3.2
2024/02/26 (20:25:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/27 (03:10:54) | ===> btop++ v.1.3.2
2024/02/27 (03:10:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/28 (15:09:01) | ===> btop++ v.1.3.2
2024/02/28 (15:09:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/28 (21:03:19) | ===> btop++ v.1.3.2
2024/02/28 (21:03:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/29 (01:04:14) | ===> btop++ v.1.3.2
2024/02/29 (01:04:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/29 (02:44:15) | ===> btop++ v.1.3.2
2024/02/29 (02:44:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/29 (03:34:46) | ===> btop++ v.1.3.2
2024/02/29 (03:34:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/29 (03:53:30) | ===> btop++ v.1.3.2
2024/02/29 (03:53:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/29 (09:42:19) | ===> btop++ v.1.3.2
2024/02/29 (09:42:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/29 (16:16:46) | ===> btop++ v.1.3.2
2024/02/29 (16:16:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/29 (17:05:01) | ===> btop++ v.1.3.2
2024/02/29 (17:05:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/29 (17:07:37) | ===> btop++ v.1.3.2
2024/02/29 (17:07:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/29 (17:47:12) | ===> btop++ v.1.3.2
2024/02/29 (17:47:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/29 (17:52:55) | ===> btop++ v.1.3.2
2024/02/29 (17:52:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/29 (18:35:15) | ===> btop++ v.1.3.2
2024/02/29 (18:35:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/29 (20:53:38) | ===> btop++ v.1.3.2
2024/02/29 (20:53:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/29 (20:53:58) | ===> btop++ v.1.3.2
2024/02/29 (20:53:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/29 (20:55:10) | ===> btop++ v.1.3.2
2024/02/29 (20:55:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/29 (20:55:34) | ===> btop++ v.1.3.2
2024/02/29 (20:55:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/29 (20:59:51) | ===> btop++ v.1.3.2
2024/02/29 (20:59:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/29 (22:49:20) | ===> btop++ v.1.3.2
2024/02/29 (22:49:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/01 (01:35:05) | ===> btop++ v.1.3.2
2024/03/01 (01:35:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/01 (01:42:32) | ===> btop++ v.1.3.2
2024/03/01 (01:42:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/01 (02:00:27) | ===> btop++ v.1.3.2
2024/03/01 (02:00:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/01 (02:31:04) | ===> btop++ v.1.3.2
2024/03/01 (02:31:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/01 (02:57:09) | ===> btop++ v.1.3.2
2024/03/01 (02:57:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/01 (03:04:40) | ===> btop++ v.1.3.2
2024/03/01 (03:04:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/01 (03:04:48) | ===> btop++ v.1.3.2
2024/03/01 (03:04:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/01 (03:58:33) | ===> btop++ v.1.3.2
2024/03/01 (03:58:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/01 (16:17:19) | ===> btop++ v.1.3.2
